test_id,situation,expected_behavior,rationale,status
F-01,Cue ball pocketed or off table (scratch),"Foul. Turn passes, opponent gets ball-in-hand anywhere on the playing surface. No point deduction.","APA §15a. Scoreboard shows a foul counter, not negative points — deductions are not a pool rule and confuse players.",locked
F-02,Scratch on the break (8-ball),Foul. Ball-in-hand restricted to behind the head string; first contact must be with a ball outside the head string.,APA §15 exception. Requires HUD to draw the head-string zone and validate placement.,locked
F-03,Failure to hit own group first,Foul + ball-in-hand — only when first contact is detected with ≥85% confidence.,APA §15b. Below threshold see F-09.,locked
F-04,No rail contact and no ball pocketed after contact,Foul + ball-in-hand.,APA §15c. Cheap to detect: any ball crossing a cushion band post-contact.,locked
F-05,Cue ball touches no object ball at all,Foul + ball-in-hand.,APA §15j. Reliable — the easiest foul for a camera.,locked
F-06,Player touches/moves a ball by hand or cue,Not auto-called. Requires a player tap on the HUD to register.,APA §15g/§15i. A camera cannot separate a hand from a legal bridge reliably. Auto-calling this will infuriate users.,locked
F-07,Double-hit / push shot / scoop,Not auto-called in v1. Flagged for replay if cue-ball contact duration exceeds threshold.,"APA §15e/§15h. Needs >120fps to judge honestly. Log it, don't rule on it.",locked
F-08,Frozen-ball rail requirements,Not auto-called in v1. System marks the ball as frozen and defers to players.,APA §15d is the most complex foul in the book. Out of scope for v1; do not fake it.,locked
F-09,Contact ambiguous (below confidence threshold),No foul called. Event logged and marked 'review' with a replay clip attached.,"Mirrors APA's referee standard: if it can't be determined, no foul. Safer product default than a wrong call.",locked
F-10,Foul called after the next shot has started,Rejected. Foul window closes when the next stroke begins.,APA §15 note. Prevents retroactive score-editing arguments.,locked
H-01,Inning tracking,"Auto-counted, anchored on the breaker: the inning number increments every time the player who broke that rack comes to the table. Current inning is always displayed on the HUD.","Mike's ruling 15 Aug: matches how APA scoresheets read at the table (""you break, we are in inning 1""). Breaker-anchored is also easier for the camera than pairing turns.",locked
H-02,Defensive shot / safety,"CANNOT be automated — requires intent, and intent is known only <em>after</em> the shot. A MARK DEFENSE button appears on the HUD only in the window between a completed shot and the next shot, and is bound to that specific shot. It is never persistently on screen. The shooter self-marks; either player may tap it.","Mike's ruling 15 Aug: defence is never called before the shot, so the control is transient and shot-bound. Removes the ambiguity of 'which shot did that tap mean'.",locked
H-03,Skill-level handicapping,"League mode only, and only when H-02 marking is enabled. Outside a sanctioned league match — practice, casual, league player vs non-league player — no stored skill level is ever applied. Everyone is just a player.",Mike's ruling 15 Aug. Race charts already coded (apa_race_charts.py). Depends entirely on H-01 + H-02 integrity.,locked
H-04,Naming of the handicap system,"Called <strong>Skill Level</strong> (Skill Level 1–7) everywhere. The letters APA never appear in product, UI, or marketing. The word 'handicap' is avoided in player-facing copy; a player is 'a Skill Level 4', never 'a handicap'.","Mike's ruling 15 Aug: positive framing, and it sidesteps a trademarked licensed league system. Nelson Mullins to confirm at no cost through OCSC.",locked
H-05,Time-outs and coaching,"Manual only, never auto-detected. A TIME OUT button is available on the HUD at any point during the current player's turn; tapping it starts a visible 1-minute timer and charges the time-out to the player currently at the table. It is written to the record only when END TIME OUT is tapped — so a mis-tap can be cancelled with no charge. Duration is logged; remaining time-outs are shown. Coaching content itself is never judged.","APA §18: any member of the shooting team may call it, any eligible teammate may coach, coaching limited to ~1 min, a team can only be charged after the rack has been struck, and allowance is 2 per game at Skill Level 1–3/unrated, 1 per game at 4+. Mis-taps were Mike's specific pain point — hence commit-on-close.",locked
M-01,Turn advance,"Automatic, no confirmation prompt. Turn flips when the table comes to rest and no ball of the shooter's group was legally pocketed, <em>or</em> when any foul or turn-ending event is recorded.","Mike's ruling 15 Aug. A prompt every turn kills the 'hang it, plug it, play it' promise.",locked
M-02,Score commit timing,"Score commits as soon as all balls come to rest — no artificial delay. A ball that then falls by itself after being stationary for five seconds or more is NOT scored: the HUD prompts that it must be replaced as closely as possible to where it sat, and the system re-registers it as in play (see M-07). A hanging ball that drops within that five-second window counts.","Mike's ruling 15 Aug; threshold taken from CSI/BCA §hanging ball, which is the only rulebook that gives a countable number — five seconds, counted from the moment <em>all</em> balls stop moving, regardless of whether the shooter is still at the table. APA NOTE 1 (p.49) says the same thing as 'more than a few seconds' and is not implementable as written. Undo (M-03) covers the rest, so the 3-second commit ring was unnecessary.",locked
M-03,Undo,"The back button is available to either player with no PIN. A rack's events stay editable until the NEXT BREAK; the break locks that rack. If a rack ends with an unresolved correction, the HUD shows SCORE UNCONFIRMED where the breaker can see it (advisory, never blocking). The match total stays open until an explicit CONFIRM FINAL SCORE tap, or until a new match starts on that table — no timer. On confirm the back button disappears entirely (nothing editable, nothing on screen); corrections after that go through a deliberate REOPEN on the match summary, logged with who did it, available until a new match starts on that table. After that the result is final and lives only in the event log. Every revert is written to the event log (M-12).","Mike 15 Aug: disputes take minutes, and a locked-out back button is worse than an abusable one. Refined 19 Aug from his league practice: 8-ball reconciles end of rack, 9-ball reconciles points AND innings end of rack, and players adjust right up until someone breaks. The break is the natural boundary and is camera-detectable (M-09), so it is an observed event rather than a remembered rule. No timers anywhere — he noted reconciling a mixed 9-ball score 'isnt that fast'.",locked
M-04,Mis-detected pocket (phantom ball),"Two-stage. Silent auto-correction if the ball reappears on the table within 2 seconds — this keeps scoring moving. Failsafe: the correction stays available until the next shot begins, so a ball that flew off the table and came back late is still reconciled automatically.",Mike's ruling 15 Aug: balls leave the table constantly and come back a beat later. The 2 s keeps play fluid; 'before the next shot' guarantees the record ends up correct.,locked
M-05,Occlusion (player leaning over the table),"Scoring pauses and never guesses through the occlusion; state is reconciled when the view clears by diffing ball inventory before and after. No alarming 'VIEW BLOCKED' banner — a small, quiet HUD indicator only.","Mike's ruling 15 Aug: occlusion is normal play, not an error state, and should not look like one.",locked
M-06,Ball colour identification below threshold,"System asks once, on the HUD: 'confirm groups' with two thumbnails. Never silently guesses group assignment.",Colour accuracy is ~80% today. One confirmation tap beats a wrong game. Locked 15 Aug.,locked
M-07,Ball moved/replaced by hand between shots,"Never a foul. Detected as an unexplained position change, logged, flagged for replay, play continues. Product upside identified by Mike: because BPS knows the prior position, the HUD can show players <em>where to put the ball back</em> — a genuinely advertisable feature and the same mechanism M-02 needs for a replaced hanging ball.",Mike's ruling 15 Aug: APA is not a stickler here even though other leagues are; enforcing it would make casual play miserable.,locked
M-08,Cue ball removed from table by a player mid-rack,"No foul. Wait state until it returns, including a substituted cue ball.",Mike's ruling 15 Aug: on coin-op tables a measle ball regularly gets swallowed and is swapped for another. Common in practice too.,locked
M-09,Rack detection / new game start,Auto-detected when 15 balls (or 9) are in a triangle/diamond in the foot-spot zone. Confirmed by a HUD tap on first ever rack per table.,Auto-start is a demo-critical wow moment. Locked 15 Aug.,locked
M-10,Break shot legality (4 balls to rail or a ball pocketed),"Enforced in league mode, advisory in casual mode.","Detectable, but calling illegal breaks on a bar table annoys casual users. Locked 15 Aug.",locked
M-11,Practice mode,"No fouls, no turns, no win conditions. Only TSR / CRR / SDR analytics accumulate.",This is the mode most retail demos should run in. Locked 15 Aug.,locked
M-12,Match record,"Every rack writes an event log (timestamped, with clip pointers) plus a final summary. Log is the source of truth; the scoreboard is a view of it.","Event-sourcing here is what makes replay, disputes, and analytics possible later at no extra cost. Locked 15 Aug.",locked
M-13,Disputed call,'Review' button pulls the last 10 seconds from both cameras side by side. Players resolve; BPS does not overrule.,"Positions BPS as evidence, not referee. Players resolve by using the back button (M-03) and correcting the record themselves. Locked 13 Aug.",locked
M-14,Confidence display,Every auto-call carries an internal confidence value; anything under threshold is visibly marked with a dot on the HUD.,"Honesty beats false precision, and it makes our own debugging free. Locked 15 Aug.",locked
M-15,Player identity,"Player 1 / Player 2 by table side, names optional. No face recognition, ever.",Privacy posture for a product going into public bars. Locked 15 Aug.,locked
N-01,Lowest-numbered ball must be contacted first,Enforced. Failure = foul + ball-in-hand.,Reliable given correct ball ID — depends on color/number accuracy.,locked
N-02,9-ball on the snap,"Win, unless the shooter also scratched.",APA 9-ball rules.,locked
N-03,9-ball pocketed on a foul shot,9-ball is spotted; opponent gets ball-in-hand. Not a win.,APA 9-ball; parallel to W-05.,locked
N-04,Points per ball,"1 point per ball pocketed, 2 for the 9, credited to the shooter. Balls made during a scratch or a foul are DEAD BALLS — credited to NEITHER player. The 9 is never dead; it is spotted.","CORRECTED 2026-08-19 (Mike caught this). APA Team Manual, scoresheet section: 'Dead Balls: Record any balls not credited to either player... such as ball(s) made during a scratch, ball(s) made during a foul.' Earlier draft wrongly credited them to the opponent. Invariant: per 9-ball rack, p1 points + p2 points + dead balls = 10.",locked
W-01,Player pockets last group ball + legally pockets the 8 in the marked pocket,"Win. Rack ends, scoreboard advances.",APA §16a.,locked
W-02,8-ball pocketed early (out of turn),"Loss of rack for the shooter. Auto-called, with a 10-second undo window.",APA §16b. Camera-detectable with high confidence.,locked
W-03,8-ball pocketed in the wrong pocket,Loss of rack — only if pocket marking is enabled in match settings.,"APA §16c. Default: pocket-marking OFF for casual/retail play, ON for league mode.",locked
W-04,8-ball and last group ball pocketed on the same shot,Loss of rack.,APA §16 note 2.,locked
W-05,Scratch while shooting at the 8-ball,Loss of rack.,APA §16g. Distinct from W-06 — this is the one people argue about.,locked
W-06,Shooting at the 8 and missing it entirely (table scratch),Foul + ball-in-hand only. NOT a loss.,APA §16 note 1. Getting this wrong is the single most common scoring-app bug.,locked
W-07,8-ball knocked off the table,Loss of rack.,APA §16b.,locked
W-08,Group assignment (open table),Table stays open until a ball is legally pocketed on a non-break shot. System infers groups then and locks them.,"Must be visible on the HUD — 'OPEN TABLE' state, then assigned groups.",locked
